Page,Intent,Current title (live/CMS),Proposed title (<=60 chars),Proposed meta description (150-160),Why
/math-tutor-burnaby,Broad math tutoring Burnaby,"Math Tutor in Burnaby | Physics, Chemistry & Coding — Dr. Shreyank Educare","Math Tutor Burnaby | Grades 6–12, Pre-Calc & Calculus","PhD-led math tutoring in Burnaby for Grades 6–12, Pre-Calculus 11/12 and Calculus. In person or online, matched to the BC curriculum. Book a free consultation.","Pos 5.1, 73 impr, 0 clicks. Lead with the course keywords Google truncates to; drop the repeated brand tail."
/coding-tutor-burnaby,Coding Burnaby,"(CMS)","Coding Tutor Burnaby | Python, Java & Computer Science","One-on-one coding tutoring in Burnaby — Python, Java, programming logic and school computer science for Grades 6–12. In person or online. Book a free consultation.","Pos 5.4, 58 impr, 0 clicks. Name the languages searchers use."
/pre-calculus-12-tutor-burnaby,Pre-Calc 12 Burnaby,"(CMS)","Pre-Calculus 12 Tutor Burnaby | BC Curriculum & Exam Prep","Pre-Calculus 12 tutoring in Burnaby aligned to the BC curriculum — functions, trig, logs and final-exam prep, one-on-one. In person or online. Free consultation.","Pos 4.8, 63 impr, 0 clicks — highest-value striking-distance term."
/chemistry-11-tutor-burnaby,Chemistry Burnaby,"(CMS)","Chemistry Tutor Burnaby | Chemistry 11–12 & University","Chemistry tutoring in Burnaby for Chemistry 11 & 12 and first-year university — stoichiometry, equilibrium, acids/bases and organic. In person or online.","Broad ""chemistry tutor burnaby"" (pos 5.3, 65 impr) has no broad page; this course page should target it. Consider a /chemistry-tutor-burnaby hub (see intent map)."
/physics-11-tutor-burnaby,Physics Burnaby,"(CMS)","Physics Tutor Burnaby | Physics 11–12 & University","Physics tutoring in Burnaby for Physics 11 & 12 and first-year university — kinematics, forces, energy, momentum and electricity. In person or online.","Broad ""physics tutor burnaby"" pos 5.7, 60 impr, 0 clicks."
/programs/university-physics,University physics Vancouver,"(CMS)","University Physics Tutor Vancouver | UBC, SFU & College","University physics tutoring for UBC, SFU and college students in Vancouver — mechanics, E&M, first- and second-year courses. Online, PhD-led. Free consultation.","Pos 9.3, 64 impr, 0 clicks. Name the institutions searchers include."
/programs/university-biology,University biology Vancouver,"(CMS)","University Biology Tutor Vancouver | UBC & SFU Help","University biology tutoring for UBC and SFU students in Vancouver — cell biology, genetics, physiology and first-year courses. Online, PhD-led. Free consultation.","Pos 8.3, 53 impr, 0 clicks."
/math-tutor-vancouver,Math tutoring Vancouver,"Math Tutor in Vancouver | Physics, Chemistry & Coding — Dr. Shreyank Educare","Math Tutor Vancouver | Grades 6–12, IB, AP & University","Math tutoring for Vancouver students — Grades 6–12, IB, AP and first-year university. Online across the city or in person nearby. PhD-led. Free consultation.","Consolidate ranking signals onto one Vancouver math page (see intent map)."
/best-math-tutor-burnaby,Best math tutor Burnaby,"(CMS)","Experienced Math Tutor Burnaby | Grades 6–12 & AP/IB","Looking for a top math tutor in Burnaby? PhD-led, one-on-one help for Grades 6–12, Pre-Calculus, Calculus, AP and IB. In person or online. Free consultation.","Avoid leading with ""Best"" (unverifiable); use ""Experienced"". Distinct-enough intent to keep, per brief."
/programs/computer-science,Computer science tutoring,"(CMS)","Computer Science Tutor | Python, Java & CS Fundamentals","Computer science tutoring for school and university students — Python, Java, data structures, algorithms and debugging. Online, project-based. Free consultation.","""computer science tutor"" pos 20, 63 impr. Clarify school vs university CS."
